Density,U,T,SxSx(1),SxSx(1) error,SzSz(1),SzSz(1) error,Doublon,Doublon error,nn(1),nn(1) error,pp(1),pp(1) error,Singles,Singles error,Energy,Energy error,Partition Function,Partition Function error,Free Energy,Free Energy error,Entropy,Entropy error
0.5555555555555556,-4.0,0.05,-0.01811057979609151,0.01117575565543921,0.08026123336226054,0.052277351821654314,0.0873637314668568,0.05623591242547478,0.2580002333198595,0.15629302772014966,0.12224674981458171,0.07165079198114101,0.380828092621841,0.23355694924648973,-1.1096110064740703,0.6904956025156607,1.1049431940262827e+97,4.8588572390045115e+96,-0.12643000425216538,0.0024429899630804696,0.06279784843426248,1.5352123772978137
0.5555555555555556,-4.0,0.1,-0.016929104641334344,0.010275014707912344,0.07919467822621139,0.04995701808171053,0.08848397499817842,0.0539764954826487,0.2571334023894324,0.1492876740274553,0.11924931193272978,0.0680255187838619,0.3785876055591984,0.22305300797732452,-1.100229635063036,0.6577896854136828,6.423719242427115e+48,2.70249991270607e+48,-0.12989927282627425,0.004674515755532871,0.0765153559704802,0.7323707564217903
0.5555555555555556,-4.0,0.15000000000000002,-0.01602536045557064,0.009439003013975924,0.07771580356162791,0.04712477980272445,0.08908408957979355,0.05109157712201808,0.2566114944794198,0.14125788562709643,0.11723999233206518,0.06433298721787749,0.37738737639596853,0.21125866547364144,-1.0843195176209945,0.6179263665760979,5.5943591274546605e+32,2.2288775044726976e+32,-0.13407779866648178,0.006640252719131386,0.09065234842766043,0.45985894178862075
0.5555555555555556,-4.0,0.2,-0.01531904206527339,0.008737225405474329,0.07625104973419466,0.044346947838462346,0.08943303468278686,0.04828189251470707,0.25623867317698545,0.13359431060126536,0.11579891293903831,0.06093846538276522,0.3766894861899817,0.20012369945154046,-1.0584386960625496,0.5767382491609713,5.398946743353875e+24,2.0360661386176746e+24,-0.1390021986292463,0.008380507595708696,0.106989495333704,0.3231384834604765
0.5555555555555556,-4.0,0.25,-0.014663426529700055,0.008076021369869702,0.07484131099229564,0.0414630943846549,0.08973037243591966,0.04541442451016442,0.2557889792944724,0.12565969573834934,0.11450961509548441,0.05742106311239204,0.37609481068371636,0.1886752444111193,-1.0156080418515285,0.5308242725755633,8.661419632062069e+19,3.077129656317168e+19,-0.1448568951462656,0.009868569751566037,0.12804622865104962,0.23920150729928472
0.5555555555555556,-4.0,0.3,-0.014008565281151,0.0074072724131524995,0.07349024083610015,0.03836597335846178,0.09003886500935893,0.04234173052116619,0.25516688512058044,0.11701954190651803,0.11325512029837469,0.053556468816899024,0.3754778255368379,0.17622616699941285,-0.9515666292465059,0.4788820790753784,5.70715871768196e+16,1.8925733182694068e+16,-0.15188674254109127,0.011053797589366855,0.15385705689752419,0.18115054762355157
0.5555555555555556,-4.0,0.35000000000000003,-0.013354486990963648,0.006729793092231631,0.072229074631272,0.03510009863716761,0.09037077050408855,0.039062029594506345,0.25437977885304663,0.10772593180091516,0.11203885674566244,0.049372096970443036,0.3748140145473783,0.16279123222777028,-0.8657773198060771,0.42287074752898696,315947773283362.94,96736469648493.28,-0.16030086681186223,0.011906948355953878,0.1831525338097406,0.13848821227809693
0.5555555555555556,-4.0,0.4,-0.012716169496289571,0.006063867330370052,0.07109997941392406,0.031790901793363885,0.09072306486077059,0.03567372578493888,0.25348656970480693,0.09811712182939088,0.1108921219257244,0.04502963227664067,0.3741094258340145,0.148818313978922,-0.7606840533566651,0.36648407541998096,6634980304559.864,1856365667928.3967,-0.17023242821032775,0.01243487350521844,0.21427994459341235,0.10644192540178943
0.5555555555555556,-4.0,0.44999999999999996,-0.012108383545938973,0.005432590362067552,0.07013662877282106,0.028573148439438294,0.0910874578933127,0.03230685917157486,0.2525579336312846,0.08860017368410403,0.1098440321705002,0.040719957127268974,0.37338063976893,0.13488244481945222,-0.6403932816627276,0.3134755436535584,339265963113.5456,86001972799.18246,-0.18173403929510212,0.012674712784317728,0.24573162271436835,0.0823668443550071
0.5555555555555556,-4.0,0.5,-0.01154096410038937,0.004852853064742601,0.0693556340259666,0.025551048686646535,0.09145350127224545,0.029076454958160504,0.25165470551683927,0.0795169081678475,0.10891481927227348,0.03660192022830132,0.37264855301106514,0.12148692349995885,-0.5094050183761313,0.26661415258270854,32334590129.860462,7380038065.662523,-0.19479201197011137,0.012679984905093908,0.2763829087455269,0.064446915565673
0.5555555555555556,-4.0,0.55,-0.011018507839596497,0.00433320801427642,0.06875682002868366,0.022786918735290804,0.09181036289013009,0.026062644403112116,0.25082017308888716,0.07109378088617506,0.10811594090425346,0.03278034939214521,0.3719348297752956,0.1089804892671504,-0.371766663390134,0.22736027527422392,4842242101.652045,991051241.413279,-0.20934700918849466,0.012507479233669168,0.30552654935481166,0.051252686403398764
0.5555555555555556,-4.0,0.6000000000000001,-0.010541553582828388,0.003875216545578451,0.06832770432098273,0.02030617986115023,0.09214812258421116,0.023309257400547338,0.25008023860944006,0.06344540951940582,0.10745178271900024,0.029308338039213656,0.37125931038713356,0.09755328338752584,-0.23069625530066912,0.1960034714974211,1016381374.238599,186131355.88457757,-0.2253133757858732,0.01220876077965085,0.3328007642170721,0.04161137148247766
0.5555555555555556,-4.0,0.6500000000000001,-0.010107972930154006,0.003475826777019608,0.06804869941708158,0.018108069585347514,0.09245853315023239,0.020831100724557655,0.24944686217574066,0.05660108287727764,0.10692153265680594,0.02619972756723745,0.3706384892550907,0.08726961383408216,-0.08853748419962172,0.1719779585052699,276232802.7690851,45232995.050783366,-0.2425938660357006,0.011826355840385968,0.35808671967892025,0.03457274837600252
