0 (9, 9, 0, 1)
1 (9, 1, 0, 9)
2 (9, 8, 0, 9)
3 (9, 2, 0, 36)
4 (9, 7, 0, 36)
5 (9, 1, 1, 81)
6 (9, 8, 1, 81)
7 (9, 3, 0, 84)
8 (9, 6, 0, 84)
9 (9, 4, 0, 126)
10 (9, 5, 0, 126)
11 (9, 2, 1, 324)
12 (9, 7, 1, 324)
13 (9, 3, 1, 756)
14 (9, 6, 1, 756)
15 (9, 4, 1, 1134)
16 (9, 5, 1, 1134)
17 (9, 2, 2, 1296)
18 (9, 7, 2, 1296)
19 (9, 3, 2, 3024)
20 (9, 6, 2, 3024)
21 (9, 4, 2, 4536)
22 (9, 5, 2, 4536)
23 (9, 3, 3, 7056)
24 (9, 6, 3, 7056)
25 (9, 4, 3, 10584)
26 (9, 5, 3, 10584)
27 (9, 4, 4, 15876)
28 (9, 5, 4, 15876)
